# Simulation 7 (Up to date)
# 422 data points written for 13 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°),Mach number (?),Air temperature (°C),Air pressure (mbar)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,9.4984,0,9.4984,0,0,28.61,-80.6,0.004918,15,1013.2
0.01,4.7492e-4,0.094984,47.426,0.094984,47.426,0,0,28.61,-80.6,0.0049209,15,1013.2
0.02,0.0037965,0.56934,63.802,0.56934,63.802,0,0,28.61,-80.6,0.0051851,15,1013.2
0.03,0.012681,1.2076,69.734,1.2076,69.734,0,0,28.61,-80.6,0.0060517,15,1013.2
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.028244,1.9052,75.676,1.9052,75.676,0,0,28.61,-80.6,0.0074374,15,1013.2
0.05,0.051081,2.6622,81.622,2.6622,81.622,0,0,28.61,-80.6,0.0092255,15,1013.2
0.06,0.081786,3.4788,85.918,3.4788,85.918,0,0,28.61,-80.6,0.011317,14.999,1013.2
0.07,0.12087,4.3383,86.81,4.3383,86.81,0,0,28.61,-80.6,0.013629,14.999,1013.2
0.08,0.1686,5.2068,87.604,5.2068,87.604,0,0,28.61,-80.6,0.016031,14.999,1013.2
0.09,0.22505,6.0832,88.399,6.0832,88.399,0,0,28.61,-80.6,0.018496,14.999,1013.2
0.1,0.2903,6.9676,89.195,6.9676,89.195,0,0,28.61,-80.6,0.02101,14.998,1013.2
0.11,0.36444,7.8599,89.99,7.8599,89.99,0,0,28.61,-80.6,0.023578,14.998,1013.2
0.12,0.44754,8.7602,90.785,8.7602,90.785,0,0,28.61,-80.6,0.026179,14.997,1013.2
0.13,0.53968,9.6685,91.579,9.6685,91.579,0,0,28.61,-80.6,0.028812,14.996,1013.2
0.14,0.64094,10.585,92.373,10.585,92.373,0,0,28.61,-80.6,0.031473,14.996,1013.2
0.14945,0.74507,11.458,93.104,11.458,93.104,0,0,28.61,-80.6,0.034014,14.995,1013.2
0.15818,0.84861,12.27,93.771,12.27,93.771,0,0,28.61,-80.6,0.036376,14.994,1013.2
0.16633,0.95173,13.035,94.396,13.035,94.396,0,0,28.61,-80.6,0.0386,14.994,1013.1
# Event LAUNCHROD occurred at t=0.174 seconds
0.174,1.0545,13.759,94.987,13.759,94.988,0,0,28.61,-80.6,0.04071,14.993,1013.1
0.18551,1.2191,14.854,96.03,14.854,96.032,-3.4457e-5,0,28.61,-80.6,0.043901,14.992,1013.1
0.20277,1.4899,16.515,97.593,16.515,97.595,-2.2025e-4,0,28.61,-80.6,0.048752,14.99,1013.1
0.22866,1.9503,19.051,99.766,19.051,99.768,-8.2122e-4,0,28.61,-80.6,0.056182,14.987,1013
0.2675,2.7657,22.936,100.99,22.937,100.99,-0.0025081,0,28.61,-80.6,0.067574,14.982,1012.9
0.3175,4.039,27.998,102.27,27.998,102.27,-0.0060722,-2.1685e-8,28.61,-80.6,0.082421,14.974,1012.8
0.3675,5.5669,33.119,103.42,33.119,103.42,-0.010841,-6.2374e-8,28.61,-80.6,0.097444,14.964,1012.6
0.4175,7.3523,38.297,104.54,38.297,104.54,-0.015791,1.4067e-8,28.61,-80.6,0.11263,14.952,1012.4
0.4675,9.398,43.53,105.6,43.53,105.61,-0.019021,2.5676e-7,28.61,-80.6,0.12799,14.939,1012.1
0.5175,11.707,48.813,106.31,48.813,106.35,-0.017816,5.4418e-7,28.61,-80.6,0.14352,14.924,1011.9
0.5675,14.28,54.131,106.48,54.131,106.58,-0.0089044,8.0184e-7,28.61,-80.6,0.15916,14.907,1011.6
0.6175,17.12,59.455,106.59,59.458,106.76,0.011381,1.2944e-6,28.61,-80.6,0.17484,14.889,1011.2
0.6675,20.226,64.783,106.62,64.789,106.89,0.046801,2.7197e-6,28.61,-80.6,0.19053,14.869,1010.9
0.7175,23.598,70.112,106.61,70.124,106.96,0.10089,4.9634e-6,28.61,-80.6,0.20623,14.847,1010.5
0.7675,27.237,75.44,106.59,75.46,106.98,0.17639,5.6511e-6,28.61,-80.6,0.22194,14.823,1010.1
0.81709,31.109,80.722,106.56,80.752,106.93,0.27369,2.3195e-6,28.61,-80.6,0.23751,14.798,1009.6
0.86709,35.279,86.047,106.52,86.087,106.8,0.39391,-7.3496e-6,28.61,-80.6,0.25321,14.771,1009.1
