Time (s),Altitude (m)
0.0,0.0
0.005,0.00023746
0.01,0.00047492
0.015,0.00213571
0.02,0.0037965
0.025,0.00823875
0.03,0.012681
0.035,0.020462499999999998
0.04,0.028244
0.045,0.0396625
0.05,0.051081
0.055,0.0664335
0.06,0.081786
0.065,0.101328
0.07,0.12087
0.07500000000000001,0.144735
0.08,0.1686
0.08499999999999999,0.196825
0.09,0.22505
0.095,0.257675
0.1,0.2903
0.10500000000000001,0.32737
0.11,0.36444
0.11499999999999999,0.40598999999999996
0.12,0.44754
0.125,0.49361
0.13,0.53968
0.135,0.59031
0.14,0.64094
0.144725,0.693005
0.14945,0.74507
0.15381499999999998,0.79684
0.15818,0.84861
0.16225499999999998,0.9001699999999999
0.16633,0.95173
0.170165,1.003115
0.174,1.0545
0.179755,1.1368
0.18551,1.2191
0.19414,1.3545
0.20277,1.4899
0.215715,1.7201
0.22866,1.9503
0.24808000000000002,2.3579999999999997
0.2675,2.7657
0.2925,3.4023499999999998
0.3175,4.039
0.3425,4.80295
0.3675,5.5669
0.39249999999999996,6.4596
0.4175,7.3523
0.4425,8.37515
0.4675,9.398
0.4925,10.5525
0.5175,11.707
0.5425,12.993500000000001
0.5675,14.28
0.5925,15.7
0.6175,17.12
0.6425000000000001,18.673000000000002
0.6675,20.226
0.6925,21.912
0.7175,23.598
0.7424999999999999,25.417499999999997
0.7675,27.237
0.792295,29.173000000000002
0.81709,31.109
0.84209,33.194
0.86709,35.279
0.89209,37.4965
0.91709,39.714
0.94209,42.064499999999995
0.96709,44.415
0.992095,46.8975
1.0171,49.38
1.0389,51.655
1.0607,53.93
1.0810499999999998,56.1355
1.1014,58.341
1.1263999999999998,61.173500000000004
1.1514,64.006
1.1764000000000001,66.9665
1.2014,69.927
1.2264,73.0135
1.2514,76.1
1.27,78.48349999999999
1.2886,80.867
1.3136,84.16900000000001
1.3386,87.471
1.3636,90.8935
1.3886,94.316
1.4136000000000002,97.858
1.4386,101.4
1.4636,105.055
1.4886,108.71
1.5135999999999998,112.49
1.5386,116.27
1.5636,120.125
1.5886,123.98
1.6136,127.845
1.6386,131.71
1.6636000000000002,135.54000000000002
1.6886,139.37
1.7136,143.16
1.7386,146.95
1.7635999999999998,150.7
